time,conversions,revenue,revenue_per_conversion,baseline_revenue,incremental_revenue,promo_control,competitor_activity_score_control,sentiment_score_control,google_sem_spend,google_sem_impression,contribution_google_sem,bing_sem_spend,bing_sem_impression,contribution_bing_sem,meta_spend,meta_impression,contribution_meta,youtube_spend,youtube_impression,contribution_youtube,youtube_reach,youtube_frequency,dv360_spend,dv360_impression,contribution_dv360,dv360_reach,dv360_frequency,ooh_spend,ooh_impression,contribution_ooh
2024-01-01,881566.0,881566.0,1.0,426637.89,458259.4,0.0,0.06603069756121605,-0.4283278221631072,91924.92,1870890.0,169146.69,23981.98,639884.0,38750.75,63156.98,2327239.0,68528.76,55859.81,1007679.0,54416.06,388816.0,2.592,43090.91,942737.0,36880.09,493568.0,1.91,128117.77,1054934.0,90537.04
2024-01-08,971219.67,971219.67,1.0,410618.33,562015.91,0.0,1.1272412069680329,-0.3521335504882296,89395.48,1953303.0,208315.68,30918.03,839325.0,47674.06,76730.03,2709910.0,104711.62,64145.43,1163904.0,73337.8,546891.0,2.128,31463.6,673128.0,38338.38,316789.0,2.125,85175.35,700341.0,89638.37
2024-01-15,1018931.42,1018931.42,1.0,418849.65,599290.62,0.0,0.4675093422520456,0.5323091855533487,94349.12,2113709.0,217816.89,28345.61,826063.0,51756.36,79278.57,2623157.0,116152.25,55467.23,975477.0,76502.66,512040.0,1.905,42659.96,948180.0,45173.87,410101.0,2.312,97409.67,821170.0,91888.59
2024-01-22,1069111.16,1069111.16,1.0,442197.96,626755.8,0.0,-0.8592924628832382,0.36544406436407834,98679.81,2257161.0,228346.62,30262.5,825497.0,52988.46,90374.66,3063769.0,127158.2,50915.3,946380.0,80643.88,368413.0,2.569,38799.42,802077.0,44860.93,340752.0,2.354,106724.7,864678.0,92757.71
2024-01-29,1068873.1,1068873.1,1.0,462774.94,606974.67,1.0,0.36875078408249884,0.4127326115959884,74377.49,1711610.0,200735.02,31405.85,880344.0,52780.3,84004.72,3047198.0,132762.64,51570.41,916313.0,79765.21,377580.0,2.427,36214.39,728213.0,45885.14,316901.0,2.298,121642.34,1037586.0,95046.36
2024-02-05,1039666.64,1039666.64,1.0,442402.67,597574.44,0.0,-0.9588826008289989,0.43082100300788273,83581.64,1931047.0,207361.23,30165.24,917852.0,50807.96,76775.64,2856894.0,127070.17,51345.25,876342.0,82479.05,442974.0,1.978,36591.41,753788.0,47128.97,362110.0,2.082,85637.43,749781.0,82727.06
2024-02-12,1019826.87,1019826.87,1.0,413950.74,606632.07,0.0,0.8784503013072725,2.1416476008704612,78394.55,1711725.0,205956.13,29554.22,829365.0,52731.3,82735.2,3249829.0,127243.02,67491.66,1148712.0,83913.91,625319.0,1.837,37530.81,791372.0,48596.01,414282.0,1.91,90125.69,756884.0,88191.69
2024-02-19,998825.11,998825.11,1.0,429276.24,569091.19,0.0,-0.049925910986252896,-0.4064150163846156,73738.34,1600749.0,193139.96,25996.22,770138.0,48841.27,57996.95,2373097.0,113517.13,46581.31,854241.0,77780.67,384535.0,2.221,41712.13,876675.0,47266.13,386420.0,2.269,97582.18,827487.0,88546.03
2024-02-26,1034015.32,1034015.32,1.0,465168.29,564432.55,1.0,-0.18486236354526056,-0.5122427290715373,75684.99,1754040.0,198452.37,24473.14,666592.0,47973.34,61208.87,2231327.0,107290.44,55740.6,1093483.0,78198.17,414189.0,2.64,30970.04,610226.0,45046.58,243827.0,2.503,92041.22,769049.0,87471.65
2024-03-04,998179.49,998179.49,1.0,436682.43,569197.03,0.0,-0.6809295444039414,-0.8137727282478777,92953.27,2045870.0,208725.44,25714.06,727141.0,48183.04,59337.48,2014344.0,108719.4,45471.96,833377.0,82363.06,294005.0,2.835,37225.51,779040.0,43670.35,309538.0,2.517,84110.67,700925.0,77535.75
2024-03-11,989337.93,989337.93,1.0,417340.64,572707.85,0.0,1.2225413386740303,0.6159794225754956,72874.14,1516131.0,195666.35,21364.73,581425.0,46790.64,65663.62,2095133.0,112630.17,58503.64,1057393.0,84875.98,418655.0,2.526,36046.45,759537.0,46263.62,379163.0,2.003,89431.53,718375.0,86481.09
2024-03-18,1014315.77,1014315.77,1.0,430972.33,582813.9,0.0,-0.15452948206880215,1.1289722927208916,94876.44,1988896.0,213032.07,23137.7,649871.0,44491.33,60105.43,2175356.0,117173.43,57540.68,1061146.0,81602.61,399377.0,2.657,38427.17,901336.0,45719.65,462668.0,1.948,79326.19,671513.0,80794.81
